Name,DOB,Age,Designation,Email,Phone,Gender,IsActive
Manikandan,04/14/2001 00:00:00,23,Developer,mk@gmail.com,9632362235,M,True
Daniel,12/25/2024 00:00:00,21,Manager,Daneil@gmail.com,65655632,M,True
David,04/14/2001 00:00:00,52,Developer,David@gmail.com,65566598,M,True
Pravin,04/14/2001 00:00:00,32,Manager,pravin@gmail.com,6559652,M,True
Sugan,04/14/2001 00:00:00,63,Developer,sugan@gmail.com,5995262,M,True
Deva,04/14/2001 00:00:00,56,Manager,deva@gmail.com,5562323,M,True
Ramesh,04/14/2001 00:00:00,56,Developer,r@gmail.com,56526323,M,True
Shanmuga,04/14/2001 00:00:00,23,Tester,shan@gmail.com,65033265,M,True
Mohan,12/25/2024 00:00:00,33,Developer,mohan@gmail.com,3222,M,True
Pramoth,12/25/2024 00:00:00,42,Tester,pramoth@gmail.com,12535,M,True
